"","face_name_align","race","race4","gender","age","race_scores_fair","race_scores_fair_4","gender_scores_fair","age_scores_fair"
"1729","38712","Middle Eastern","Indian","Male","30-39","[3.8656522e-02 2.1173935e-03 5.7532467e-02 1.0099241e-05 6.1436767e-05
 1.0307214e-02 8.9131492e-01]","[0.27978995 0.13241647 0.00463185 0.5831618 ]","[9.9998575e-01 1.4267627e-05]","[8.8749493e-07 2.5255700e-05 2.3348369e-03 4.8565510e-01 4.9426153e-01
 1.7606495e-02 1.1439188e-04 1.4565225e-06 2.7182320e-08]"
"1730","884854","Latino_Hispanic","Asian","Male","20-29","[0.05294907 0.00474696 0.46162042 0.01232926 0.02039967 0.00344103
 0.44451365]","[0.33044565 0.16097175 0.40377635 0.1048063 ]","[9.9999863e-01 1.3573524e-06]","[1.5948478e-08 1.2981816e-06 1.0839477e-02 9.2105764e-01 6.7189537e-02
 9.0444292e-04 7.1221680e-06 4.4563646e-07 5.2338773e-09]"
"1731","341495","White","White","Male","20-29","[4.92063314e-01 1.55356445e-03 1.00094646e-01 9.52626669e-06
 6.53836541e-05 4.16373572e-04 4.05797184e-01]","[9.4829386e-01 5.0007619e-02 1.4707792e-04 1.5514648e-03]","[1.0000000e+00 2.8481498e-08]","[2.4262450e-08 3.9010374e-06 2.3343433e-03 7.3789728e-01 2.5628346e-01
 3.4731110e-03 7.8858529e-06 6.4267901e-08 5.7576921e-10]"
"1732","989768","Black","Black","Male","20-29","[3.6909725e-07 9.9982750e-01 1.3276169e-05 3.2898203e-08 1.8330552e-06
 1.5651714e-04 5.0552160e-07]","[1.138113e-07 9.999912e-01 9.566241e-07 7.779833e-06]","[9.9997455e-01 2.5460782e-05]","[1.8912812e-07 3.7215883e-05 1.5106892e-02 6.3682985e-01 3.1184635e-01
 3.5141516e-02 1.0097030e-03 2.7261460e-05 9.8167175e-07]"
"1733","1103039","Black","Black","Male","20-29","[1.6886016e-06 9.9987900e-01 5.5023822e-05 2.4197578e-07 6.1520554e-06
 5.5048829e-05 2.7586723e-06]","[3.3110928e-06 9.9965721e-01 6.9693771e-05 2.6981076e-04]","[9.9999779e-01 2.2344766e-06]","[1.72425814e-07 1.00847246e-04 3.05124130e-02 7.49708474e-01
 2.07186729e-01 1.23091005e-02 1.80153031e-04 2.01487342e-06
 8.43346228e-08]"
"1734","1170523","Black","Black","Male","20-29","[5.8540140e-06 9.9976474e-01 1.8045065e-04 1.4353972e-07 5.7625034e-06
 3.8860187e-05 4.1286589e-06]","[6.2397214e-07 9.9999523e-01 1.6502099e-06 2.4724500e-06]","[0.9989835  0.00101648]","[1.2129595e-06 9.5422275e-04 2.4522176e-01 7.0590192e-01 4.6498381e-02
 1.4033910e-03 1.8466217e-05 5.7983425e-07 4.5706464e-08]"
"1735","95442","White","White","Male","30-39","[9.9642456e-01 2.0607281e-04 7.1299804e-04 1.5860188e-07 1.1130536e-06
 1.7436374e-04 2.4807893e-03]","[9.900863e-01 3.499067e-03 7.251655e-05 6.342114e-03]","[9.9999362e-01 6.3547363e-06]","[1.0937604e-06 1.7376769e-05 3.4460763e-04 1.1218447e-01 6.8339831e-01
 1.9526170e-01 8.7189656e-03 7.1382703e-05 2.0805035e-06]"
"1736","1493243","Black","Black","Male","20-29","[4.5326829e-07 9.9978566e-01 1.2285959e-05 1.0405575e-08 5.3087695e-07
 2.0047472e-04 7.1754062e-07]","[1.3097541e-06 9.9989760e-01 2.5787767e-06 9.8593628e-05]","[9.9999964e-01 3.5343916e-07]","[4.6085247e-09 3.2916585e-06 1.1732336e-02 8.2312906e-01 1.6238621e-01
 2.7394032e-03 9.5906898e-06 9.8867154e-08 3.6860814e-09]"
"1737","1049591","Black","Black","Male","20-29","[4.3570439e-05 9.8257935e-01 9.3543722e-04 5.0399456e-07 1.1844187e-05
 1.6111532e-02 3.1770850e-04]","[4.274380e-05 9.913641e-01 3.219670e-05 8.560977e-03]","[0.99790496 0.00209506]","[1.2522765e-06 1.8924049e-03 2.8067580e-01 6.6572922e-01 5.0813083e-02
 8.8145188e-04 6.5945264e-06 2.3134365e-07 8.3666816e-09]"
"1738","308054","Black","Black","Male","30-39","[2.2000445e-06 9.9967718e-01 5.9877111e-05 4.9616411e-08 1.3665779e-06
 2.5681226e-04 2.5570444e-06]","[2.8298673e-06 9.9998534e-01 4.7439635e-06 7.1448876e-06]","[9.999959e-01 4.110322e-06]","[1.11834995e-08 3.48728946e-07 7.91907893e-04 3.88646394e-01
 5.75947821e-01 3.41738723e-02 4.35013761e-04 4.54956080e-06
 1.07766326e-07]"
"1739","226958","White","White","Male","30-39","[9.8667836e-01 8.1670274e-05 6.9298516e-03 3.2538668e-05 1.2837582e-04
 2.8138072e-04 5.8678454e-03]","[9.9865192e-01 7.6917140e-04 4.5199084e-04 1.2680171e-04]","[9.9999434e-01 5.6464987e-06]","[8.0218820e-07 2.5075329e-05 3.6264514e-04 3.0828837e-01 6.7176944e-01
 1.9517649e-02 3.5774130e-05 2.7399173e-07 6.5905765e-09]"
"1740","306498","Middle Eastern","White","Male","20-29","[2.6094735e-01 1.0098973e-05 7.2481083e-03 7.4219315e-05 2.0770429e-04
 4.7849255e-04 7.3103410e-01]","[9.9690020e-01 3.3026742e-04 2.7198388e-04 2.4975629e-03]","[9.9991196e-01 8.8057801e-05]","[3.8636949e-07 6.3574215e-04 3.5103574e-01 6.1675036e-01 3.1083463e-02
 4.9276784e-04 1.4804560e-06 2.3824189e-08 4.9123755e-10]"
"1741","308526","Black","Black","Male","30-39","[1.1660698e-05 9.9757332e-01 9.6032119e-05 5.0107479e-07 1.0957040e-05
 2.3022923e-03 5.0498934e-06]","[7.6086544e-05 9.9237740e-01 4.6204816e-05 7.5002792e-03]","[9.9983573e-01 1.6422059e-04]","[4.5873527e-08 1.0313423e-06 1.3300976e-04 6.2535062e-02 6.8027782e-01
 2.4864252e-01 8.3422698e-03 6.6348060e-05 1.9076867e-06]"
