"","race","race4","gender","age","race_scores_fair","race_scores_fair_4","gender_scores_fair","age_scores_fair","ID","black","Skin3"
"1579","Latino_Hispanic","Black","Male","20-29","[0.0102799  0.18286309 0.77429116 0.00101256 0.02075937 0.00528668
 0.00550713]","[0.01701537 0.91154474 0.05975604 0.011684  ]","[9.9999428e-01 5.6847903e-06]","[1.3135635e-05 5.0544244e-05 1.4040124e-02 5.3746551e-01 4.0984386e-01
 3.7609193e-02 9.5579325e-04 2.1497925e-05 3.4873665e-07]","801391",0,"Medium"
"1580","White","White","Male","20-29","[9.6831053e-01 2.2925804e-05 1.7317438e-02 1.8432596e-05 4.9544142e-05
 4.3254193e-05 1.4237946e-02]","[9.9977404e-01 1.0493147e-05 8.9384004e-05 1.2606819e-04]","[9.9986106e-01 1.3895928e-04]","[5.0585559e-08 3.2127929e-05 8.1884786e-02 8.5309225e-01 6.3378610e-02
 1.6024705e-03 9.5775868e-06 1.3829472e-07 3.1674339e-09]","801460",0,"White"
"1581","White","White","Male","30-39","[9.9927980e-01 9.1876864e-06 2.4325136e-04 2.4213271e-06 1.1149104e-05
 3.8729727e-06 4.5040748e-04]","[9.9774700e-01 2.0283456e-03 5.5226850e-05 1.6939006e-04]","[9.9999124e-01 8.8195902e-06]","[3.6886385e-07 7.7584600e-06 2.3458162e-03 4.0952745e-01 5.4219061e-01
 4.4862222e-02 1.0281237e-03 3.6181165e-05 1.4462497e-06]","801462",0,"White"
"1582","White","White","Male","20-29","[9.9778420e-01 1.6834731e-05 6.6901109e-04 4.7510339e-06 9.1057136e-06
 1.0743514e-06 1.5149695e-03]","[9.9953818e-01 3.5026463e-04 1.0644240e-04 5.1373468e-06]","[9.9999684e-01 3.1770280e-06]","[3.6366576e-08 1.5238654e-05 1.3414404e-01 8.4591973e-01 1.9605456e-02
 3.1090339e-04 4.4631001e-06 1.4284181e-07 3.4354573e-09]","801483",0,"White"
"1583","White","White","Male","20-29","[9.9992043e-01 5.1827607e-07 1.1189857e-06 5.6630078e-08 1.7168929e-07
 1.5015749e-07 7.7450895e-05]","[9.9999654e-01 1.8129113e-06 1.1681260e-06 4.3773719e-07]","[9.9999857e-01 1.4913473e-06]","[2.5486568e-07 5.3262807e-05 6.6602575e-03 6.6988909e-01 3.1160647e-01
 1.1603775e-02 1.8462489e-04 2.0575317e-06 1.3558410e-07]","801557",NA,NA
"1584","White","White","Male","20-29","[9.9954188e-01 4.8955943e-08 1.2097606e-05 1.0810328e-07 2.5753744e-07
 5.1158132e-08 4.4546730e-04]","[9.9986166e-01 4.1318999e-05 8.9356181e-05 7.6831057e-06]","[9.9999988e-01 5.1933483e-08]","[2.66141846e-08 9.38510857e-06 1.43507821e-02 8.47960055e-01
 1.35495782e-01 2.17472971e-03 9.12634550e-06 1.11101826e-07
 1.24994148e-09]","801605",0,"White"
"1585","White","White","Male","20-29","[8.6954731e-01 1.3295642e-05 8.1048114e-03 3.3064494e-05 6.8366848e-05
 3.4649353e-04 1.2188674e-01]","[9.9259084e-01 2.8716994e-04 1.5049855e-03 5.6170272e-03]","[9.9998754e-01 1.2451696e-05]","[2.0206626e-07 7.8232033e-06 3.3418876e-03 7.9198134e-01 2.0284408e-01
 1.8195831e-03 5.0874551e-06 6.0558456e-08 1.1114232e-09]","801837",0,"White"
"1586","White","White","Male","20-29","[9.9900788e-01 7.9760966e-06 7.5096759e-04 6.2540153e-06 1.7883511e-05
 1.0569866e-05 1.9844384e-04]","[9.9961710e-01 1.8154245e-04 1.4234906e-04 5.9062411e-05]","[9.9999970e-01 2.6838188e-07]","[2.87292238e-07 1.35335813e-05 6.23834087e-03 6.92459583e-01
 2.91125476e-01 1.00494875e-02 1.12184905e-04 1.10835140e-06
 2.41685747e-08]","801951",0,"White"
"1587","Middle Eastern","White","Male","20-29","[6.7039378e-02 1.4249666e-02 4.3482509e-01 4.6861867e-05 2.7231191e-04
 1.7531870e-02 4.6603483e-01]","[0.63043845 0.14957756 0.00261012 0.21737386]","[9.9999988e-01 1.4408442e-07]","[1.4433785e-07 8.5227703e-06 3.2506641e-03 7.3404527e-01 2.5762004e-01
 5.0508264e-03 2.4150875e-05 3.8767598e-07 4.3854476e-09]","802034",0,"Medium"
"1588","White","White","Male","20-29","[6.7952925e-01 1.6750218e-04 2.2937758e-02 1.9226948e-04 2.7868160e-04
 2.1098808e-03 2.9478469e-01]","[9.8774874e-01 3.4505844e-03 6.6221581e-04 8.1384443e-03]","[9.9995863e-01 4.1318472e-05]","[2.9950886e-07 5.3778003e-05 7.8316070e-03 8.6289519e-01 1.2867163e-01
 5.4670993e-04 7.3763226e-07 1.0360986e-08 2.4509758e-10]","802133",0,"Medium"
"1589","Black","Black","Male","20-29","[3.51218591e-06 9.99263942e-01 1.09534529e-04 3.57720751e-07
 1.00379075e-05 6.05829584e-04 6.91547029e-06]","[3.1908485e-06 9.9974835e-01 1.8526871e-05 2.2987633e-04]","[9.9994421e-01 5.5847286e-05]","[9.5410905e-07 1.7092592e-04 2.9568706e-02 4.6387273e-01 4.1240501e-01
 8.8798791e-02 5.0088684e-03 1.6749545e-04 6.4995588e-06]","802136",NA,NA
"1590","Black","Black","Male","20-29","[9.2015844e-09 9.9999988e-01 4.0037310e-08 2.1914878e-11 3.3769981e-10
 8.4648590e-08 3.3898611e-09]","[7.7943156e-08 9.9999976e-01 2.7722674e-08 1.4698547e-07]","[9.9999672e-01 3.2974265e-06]","[3.0777244e-08 1.5945128e-05 1.1342325e-02 7.1074843e-01 2.5965261e-01
 1.8116368e-02 1.2305206e-04 1.1418946e-06 5.6543051e-08]","802138",1,"Black"
"1591","Black","Black","Male","20-29","[2.2382537e-08 9.9999934e-01 1.8136740e-07 5.2854863e-11 6.1723571e-10
 2.0286279e-07 2.4843470e-07]","[8.4739114e-08 9.9999911e-01 1.4837428e-07 5.9983347e-07]","[9.9999768e-01 2.3535445e-06]","[7.0021088e-06 3.2656209e-03 3.6709655e-02 4.7804210e-01 4.3966904e-01
 4.2141866e-02 1.6319353e-04 1.5051752e-06 8.3656616e-08]","802142",1,"Black"
"1592","Black","Black","Male","20-29","[1.14430732e-03 9.12582040e-01 6.47964105e-02 1.82752115e-06
 6.33724485e-05 1.38040455e-02 7.60803744e-03]","[1.1370514e-03 9.8540562e-01 3.7428350e-04 1.3083066e-02]","[1.0000000e+00 3.4107974e-09]","[4.6717620e-08 1.2145459e-06 7.6130393e-04 4.9474716e-01 4.8538664e-01
 1.8995710e-02 1.0736475e-04 5.6195154e-07 6.6409602e-09]","802143",1,"Black"
"1593","Black","Black","Male","20-29","[1.0777579e-08 9.9999917e-01 2.1059925e-07 1.0191529e-09 1.9474939e-08
 5.8297024e-07 9.5390604e-08]","[2.2545207e-07 9.9999619e-01 1.4342135e-06 2.1891274e-06]","[9.9999994e-01 7.9865465e-08]","[5.8350047e-08 1.6790926e-05 5.3805360e-03 6.0943681e-01 3.5325176e-01
 3.1737227e-02 1.7337140e-04 3.2147984e-06 1.4827712e-07]","802149",1,"Black"
"1594","White","White","Male","20-29","[9.9935645e-01 6.1541911e-08 4.7469086e-05 1.5908269e-06 1.5316341e-06
 1.7757441e-07 5.9270393e-04]","[9.9994892e-01 2.6770167e-06 4.5272147e-05 3.2115663e-06]","[9.9999762e-01 2.3432065e-06]","[3.93764665e-08 6.64439267e-06 2.66263355e-03 5.85550964e-01
 4.02803034e-01 8.95370357e-03 2.28889785e-05 1.09031845e-07
 2.29024155e-09]","802281",0,"White"
"1595","White","White","Male","30-39","[8.4224427e-01 8.6256000e-04 2.6880398e-02 1.5594384e-06 1.0433293e-05
 5.7952927e-04 1.2942122e-01]","[9.8053843e-01 7.7306381e-03 1.9248463e-04 1.1538412e-02]","[1.000000e+00 4.043257e-08]","[2.7820061e-08 1.6228466e-07 4.0124993e-05 1.5708381e-01 7.8185719e-01
 6.0604203e-02 4.1174295e-04 2.6857147e-06 1.9845029e-08]","802325",0,"Medium"
"1596","Middle Eastern","Indian","Male","20-29","[2.76046377e-02 8.59999855e-04 1.09130114e-01 1.21973353e-05
 1.27978929e-04 5.89348422e-03 8.56371582e-01]","[0.38401657 0.0273583  0.00857846 0.5800467 ]","[9.999999e-01 9.508951e-08]","[2.8146189e-08 3.5001319e-06 2.6190593e-03 8.2349581e-01 1.7246790e-01
 1.4109515e-03 2.6844261e-06 4.8033090e-08 4.3328074e-10]","802494",NA,NA
"1597","White","Black","Male","20-29","[8.8668185e-01 1.0944357e-03 3.2881942e-02 1.6671934e-04 3.2123082e-04
 1.2720071e-04 7.8726582e-02]","[0.4572843  0.5295308  0.01038051 0.00280436]","[9.9998963e-01 1.0355415e-05]","[1.8771738e-08 4.8843194e-06 4.4662032e-02 8.8379669e-01 6.9971852e-02
 1.5343201e-03 2.9658708e-05 5.2276437e-07 7.1808155e-09]","802561",0,"White"
"1598","Middle Eastern","White","Male","20-29","[7.0253700e-02 2.8744846e-04 6.6037089e-02 1.2635509e-04 3.3637712e-04
 1.7511969e-03 8.6120784e-01]","[9.845137e-01 5.468184e-04 6.033401e-03 8.905941e-03]","[9.999997e-01 3.371738e-07]","[6.0651456e-07 9.7933926e-06 2.5629527e-03 6.6552693e-01 3.2424569e-01
 7.6134820e-03 3.9741735e-05 8.4834369e-07 1.1675142e-08]","802665",0,"White"
"1599","White","White","Male","20-29","[9.1414249e-01 1.3707192e-05 8.2874158e-03 2.3898140e-06 1.8096505e-05
 2.5716552e-04 7.7278771e-02]","[9.9609828e-01 3.2425814e-04 6.6824054e-04 2.9092149e-03]","[9.9999708e-01 2.9071791e-06]","[1.0286723e-07 6.4701849e-06 3.1341105e-03 6.1170864e-01 3.7424809e-01
 1.0864101e-02 3.8188846e-05 3.0518373e-07 3.6612791e-09]","802695",0,"White"
"1600","White","White","Male","20-29","[9.2091918e-01 4.7577154e-03 3.8947918e-02 2.9220531e-04 3.5674265e-03
 2.3901919e-02 7.6136380e-03]","[0.97495496 0.01182771 0.0014749  0.01174251]","[9.9998438e-01 1.5625485e-05]","[1.1711306e-06 2.0042481e-04 1.8405505e-02 6.4163101e-01 3.1474772e-01
 2.4515895e-02 4.9149769e-04 6.4520418e-06 3.3108321e-07]","802697",0,"White"
"1601","White","White","Male","20-29","[7.8401029e-01 2.7221453e-04 4.0333573e-02 1.5582157e-04 8.2107331e-04
 3.8224552e-04 1.7402479e-01]","[0.97572947 0.01909456 0.00263405 0.00254192]","[9.999634e-01 3.663561e-05]","[5.6498372e-08 2.9347515e-05 7.3197572e-03 7.6288462e-01 2.2804642e-01
 1.7158774e-03 3.9067559e-06 5.3075006e-08 1.2255139e-09]","802719",0,"White"
"1602","Black","Black","Male","20-29","[4.9888263e-07 9.9989122e-01 6.9307207e-06 5.6191700e-09 7.1586747e-08
 9.5989541e-05 5.2225423e-06]","[1.0120388e-06 9.9998909e-01 1.0916663e-07 9.7630118e-06]","[9.9984694e-01 1.5304914e-04]","[2.7476164e-08 1.5894471e-05 8.0152135e-03 5.0534773e-01 4.5357996e-01
 3.2623220e-02 4.1228128e-04 5.4777211e-06 1.7664271e-07]","802826",1,"Black"
"1603","Latino_Hispanic","White","Male","20-29","[0.02585343 0.00293408 0.9230892  0.00176284 0.00499141 0.00402656
 0.0373425 ]","[0.46166745 0.03892292 0.40568623 0.09372339]","[9.9999714e-01 2.8383620e-06]","[8.03201260e-07 9.23766493e-05 3.19529772e-02 8.43709230e-01
 1.20822966e-01 3.40576656e-03 1.52225648e-05 6.51524999e-07
 7.86288723e-09]","802830",0,"Medium"
"1604","White","White","Male","20-29","[9.1043603e-01 2.9754065e-04 4.1819960e-02 2.1742788e-04 3.0917936e-04
 1.1193801e-04 4.6807982e-02]","[9.9038547e-01 3.8884848e-03 5.3833970e-03 3.4266070e-04]","[9.9999821e-01 1.8124236e-06]","[7.8236177e-08 3.3649281e-05 5.0250094e-02 9.0176404e-01 4.7269292e-02
 6.7583635e-04 6.8977506e-06 9.2378976e-08 1.3133542e-09]","802841",0,"White"
